connection,color
03,blue
00,blue
54,blue
22,yellow
51,yellow
89,yellow
38,green
36,yellow
18,blue
43,blue
24,red
20,yellow
56,green
84,blue
61,yellow
46,green
73,red
60,red
28,green
53,yellow
09,green
91,red
83,green
39,red
23,blue
90,red
94,blue
16,yellow
79,blue
26,green
86,yellow
29,blue
13,red
33,red
32,blue
31,yellow
62,yellow
71,green
82,red
66,blue
99,yellow
47,blue
72,yellow
63,red
19,green
02,green
37,yellow
06,blue
07,yellow
04,green
08,green
30,yellow
41,red
98,green
34,blue
68,yellow
57,blue
92,blue
96,green
78,blue
25,green
27,green
58,blue
10,blue
67,blue
05,yellow
88,blue
01,blue
65,yellow
15,blue
97,red
95,yellow
44,blue
77,red
17,yellow
87,red
14,green
42,yellow
40,green
50,green
55,yellow
59,yellow
80,yellow
35,green
64,blue
93,yellow
11,green
45,yellow
75,yellow
74,green
48,yellow
21,blue
52,blue
81,yellow
85,yellow
12,yellow
70,blue
49,yellow
69,blue
